epoch,train_loss,train_acc,val_loss,val_acc
1.0,0.41592307544344076,0.8494162087912088,0.2982921750006968,0.8908991228070176
2.0,0.22962904663674616,0.917542793921062,0.27574363331261437,0.9078947368421053
3.0,0.15180621778203562,0.9453587279869959,0.3492120919389683,0.8859649122807017
4.0,0.10318021452601916,0.9606403213935893,0.4030784775029149,0.8865131578947368
5.0,0.06837368564831175,0.9762190934065934,0.4417167310031098,0.8843201754385965
6.0,0.06534753686231612,0.9777644230769231,0.42856460535416807,0.9089912280701754
7.0,0.04789369359787088,0.9832589285714286,0.47974690200205433,0.8887061403508771
8.0,0.041040710601069744,0.9856627747252747,0.5079298700091609,0.8887061403508771
9.0,0.032641725732321575,0.9892685439560439,0.5325016833498681,0.8881578947368421
10.0,0.030420122548953307,0.9898761094926478,0.48492080783634856,0.8782894736842105
